Term,Overlap,Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,ko_symbol,type,gene_number,db
Protein-Lysine N-methyltransferase Activity (GO:0016279),15/54,0.001538754895056637,4.293151969981238,46.15424366924801,SETD5;SUV39H2;KMT2D;SETD3;SETDB1;KMT5C;EHMT2;SETD6;EHMT1;CAMKMT;METTL22;NSD1;NSD2;KMT5B;EZH2,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
Microtubule Binding (GO:0008017),39/239,0.0021262099567902933,2.189526608910891,22.622163838882766,CEP57;MACF1;TUBGCP2;FMR1;CAMSAP1;UXT;RACGAP1;HAUS8;KIF3A;GAS2L1;DNM1L;DLGAP5;CLASP1;NDEL1;MAP4K4;ENKD1;CLASP2;FBXW11;MACO1;HAUS6;CGN;TERF1;EML1;EML2;EML3;EML4;CAMSAP3;CCDC88A;CLIP1;PSRC1;HOOK2;KIFC1;ALMS1;TUBGCP5;ARHGEF2;TUBGCP4;GAPDH;CCDC61;MDM1,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
N6-methyladenosine-containing RNA Binding (GO:1990247),6/10,0.002985935456906442,16.68374772589448,165.2592800546811,YTHDF2;YTHDF3;YTHDC1;HNRNPA2B1;IGF2BP1;HNRNPC,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
Ubiquitin-Protein Transferase Activity (GO:0004842),57/412,0.004726502073902967,1.8075939995416805,16.930088229408295,RNF10;RNF13;RNF14;FBXO25;UBE3A;HERC2;TRIM68;ARIH2;TRIM26;BTRC;RNF111;RNF44;FBXW11;FBXO17;TRAF2;FBXW2;TRAF7;BIRC6;RBCK1;CBLL1;BIRC2;TRIM11;PELI2;MYCBP2;KLHL13;UBE2J2;RNFT1;RMND5B;RNF214;SHARPIN;MARCHF8;RFFL;HACE1;UBE2B;FANCL;SMURF1;HUWE1;WWP1;CHFR;RNF146;UBE2W;ITCH;NEURL4;TRIM39;TTC3;MDM2;RNF181;ERCC8;TRIM37;BCOR;FBXL5;RNF141;RNF185;UBE2K;DZIP3;TRIM33;FBXL6,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
Histone H4 Acetyltransferase Activity (GO:0010485),8/20,0.005643368758133587,7.420765027322404,67.63794557994814,ING4;BRD1;NAA40;BRPF3;JADE1;MSL3;KAT7;BRCA2,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
Cadherin Binding (GO:0045296),46/319,0.0073134530354667,1.8925412685512126,16.62873647621786,MACF1;SRC;CTNND1;ARHGAP1;ASAP1;CLINT1;GIGYF2;SLC9A3R2;LDHA;BAIAP2L1;CALD1;STK38;ARFIP2;SNX9;FLNB;ERC1;LRRFIP1;PDLIM5;SPTAN1;EPS15;MARK2;PAK4;CAST;SH3GLB2;SEPTIN2;ARHGEF16;CSNK1D;SCRIB;PTPN11;ANK3;CGN;EPS15L1;CIP2A;GAPVD1;HCFC1;KTN1;EPN2;PPFIBP1;DLG1;PKM;ABI1;SERBP1;PKP4;TLN1;DBN1;PICALM,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
Methylation-Dependent Protein Binding (GO:0140034),15/68,0.01470931120749228,3.1566958122411415,24.986711111746672,KDM5A;CBX5;FMR1;ZMYND8;NCAPG2;CBX1;MSL3;CDYL;LRWD1;JMJD7;ING4;PHF20L1;ZZZ3;MTF2;BPTF,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
Histone H3K9 Methyltransferase Activity (GO:0046974),5/9,0.01470931120749228,13.89469696969697,109.94891497078497,SETD5;SUV39H2;SETDB1;EHMT2;EHMT1,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
Histone Deacetylase Activity (GO:0004407),7/18,0.01470931120749228,7.079545454545454,55.966443109206544,HDAC5;HDAC3;HDAC10;MIER1;SUDS3;SIRT2;SIRT3,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
Histone H3 Methyltransferase Activity (GO:0140938),10/36,0.019022177030019963,4.283142389525368,32.52695580613701,KMT2D;SETD5;SUV39H2;SETD3;SETDB1;EHMT2;NSD1;NSD2;EHMT1;EZH2,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
