top_10
Intracellular Membrane-Bounded Organelle
Phosphatase Activator Activity
Protein Phosphatase 4 Complex
Protein Phosphatase Activator Activity
Nucleus
Poly-Purine Tract Binding
poly(A) Binding
Actin Cytoskeleton
CENP-A Containing Chromatin Assembly
Cell-Substrate Junction
