ko_symbol,event,database,term,overlap,adjusted_p_value,odds_ratio,combined_score,genes,gene_number
Cd2bp2,SE,GO_Cellular_Component_2023,Intracellular Non-Membrane-Bounded Organelle (GO:0043232),38/1195,1.0106287843920364e-4,2.5622117472745365,34.64543395163905,TSG101;EPB41;GEMIN2;FMR1;FAF2;PDS5B;AMBRA1;RBPJ;FOXM1;TENT4B;UXT;PPP1CC;SYCE2;IRAK1;KAT7;UTP20;RBM7;PLK4;ATP8B2;NAA10;MTX2;IDH3G;KRR1;TERF1;FANCE;APTX;FANCG;STAG1;STAG2;ZZZ3;LSM6;BIN1;FANCD2;ERCC2;MDM2;ERGIC2;EIF4G3;MAD1L1,276
Cd2bp2,SE,GO_Biological_Process_2023,Mitotic Recombination (GO:0006312),5/14,1.501396501058602e-4,40.41615416154161,563.8727468782296,RAD50;MSH3;NSMCE2;XRCC3;SMC5,276
Cd2bp2,SE,GO_Biological_Process_2023,Regulation Of Cell Cycle (GO:0051726),17/298,1.501396501058602e-4,4.541571057585292,63.0863751643179,ANAPC16;ACTR5;METTL3;JADE1;TSC2;FOXM1;STK11;ZZZ3;TADA2A;BIN1;RUVBL2;TADA3;MDM2;KAT7;CCNL2;KAT14;BIRC2,276
Cd2bp2,SE,GO_Biological_Process_2023,"Positive Regulation Of DNA-templated Transcription, Elongation (GO:0032786)",8/56,1.501396501058602e-4,12.2363184079602,169.66130631758313,MED22;MED14;MED20;KAT7;CDK12;MED15;CDC73;MED7,276
Cd2bp2,SE,GO_Cellular_Component_2023,Chromosome (GO:0005694),12/164,1.72886142340142e-4,5.8528708133971294,74.31459109336193,SYCE2;STAG1;PBRM1;STAG2;FANCD2;KRR1;FMR1;SMC5;KAT7;PDS5B;FANCE;SPIDR,276
Cd2bp2,SE,GO_Biological_Process_2023,Regulation Of DNA Metabolic Process (GO:0051052),11/124,1.746689849236841e-4,7.203907163132409,98.1680040825411,SLF1;RUVBL2;ACTR5;NSMCE2;TADA3;UIMC1;JADE1;SMC5;KAT7;TERF2;TAF2,276
Cd2bp2,SE,GO_Biological_Process_2023,Regulation Of Multicellular Organismal Development (GO:2000026),8/59,1.9135287916333658e-4,11.514779045946737,154.94034323315165,BAG6;TADA2A;ZZZ3;BRPF3;RUVBL2;ACTR5;TADA3;KAT14,276
Cd2bp2,SE,GO_Biological_Process_2023,Positive Regulation Of Transcription Elongation By RNA Polymerase II (GO:0032968),7/43,2.307808494236916e-4,14.231309376290788,187.77250069492987,MED22;MED14;MED20;CDK12;MED15;CDC73;MED7,276
Cd2bp2,SE,GO_Biological_Process_2023,Positive Regulation Of DNA Metabolic Process (GO:0051054),10/108,2.878016110287207e-4,7.528770906858984,97.0855545253317,ACD;RAD50;BRPF3;ABRAXAS1;RUVBL2;ACTR5;UIMC1;KAT7;TERF1;TERF2,276
Cd2bp2,SE,GO_Biological_Process_2023,Organelle Assembly (GO:0070925),17/322,2.878016110287207e-4,4.179036647889107,53.635413338182445,PLK4;IQCB1;TSG101;SEPTIN2;FMR1;SEPTIN6;IFT122;AMBRA1;ATG13;AP3M1;IFT81;TMEM237;ATG16L1;CENPJ;B9D2;IFT57;BBS5,276
Cd2bp2,SE,GO_Biological_Process_2023,Transcription By RNA Polymerase II (GO:0006366),13/192,2.878016110287207e-4,5.397221573167364,68.97306294171642,NCOA2;PBRM1;TBP;GTF2F2;CDC73;MED7;CREB1;SNAPC4;MED20;TAF1A;ERCC2;CDK12;TAF2,276
Cd2bp2,SE,GO_Biological_Process_2023,Regulation Of Histone Modification (GO:0031056),5/18,3.4426723411124123e-4,27.974737439682087,350.88879609524685,TADA2A;ZZZ3;NFYC;TADA3;KAT14,276
Cd2bp2,SE,GO_Biological_Process_2023,Telomere Maintenance Via Recombination (GO:0000722),4/9,3.7247895553978036e-4,57.997058823529414,717.558954527279,RAD50;NSMCE2;XRCC3;SMC5,276
Cd2bp2,SE,GO_Biological_Process_2023,Telomere Maintenance (GO:0000723),8/68,3.7247895553978036e-4,9.783084577114428,120.90852241864263,RAD50;RUVBL2;ACTR5;NSMCE2;XRCC3;SMC5;TERF1;TERF2,276
Cd2bp2,SE,GO_Biological_Process_2023,Positive Regulation Of Transcription Initiation By RNA Polymerase II (GO:0060261),7/52,5.508078491610212e-4,11.379843040066088,135.15520122916314,MED22;MED14;TBP;MED20;MED15;TAF2;MED7,276
Cd2bp2,SE,GO_Biological_Process_2023,Histone H3-K14 Acetylation (GO:0044154),4/10,5.508078491610212e-4,48.32843137254902,573.7754826835659,TADA2A;ZZZ3;TADA3;KAT14,276
Cd2bp2,SE,GO_Cellular_Component_2023,Core Mediator Complex (GO:0070847),5/23,5.988228986517677e-4,20.198851988519884,226.86626933848012,MED22;MED14;MED20;MED15;MED7,276
Cd2bp2,SE,GO_Cellular_Component_2023,Serine/Threonine Protein Kinase Complex (GO:1902554),7/60,6.66417929598597e-4,9.658202988005891,105.37669817986126,STK11;CAB39;STRADA;STRADB;CCNL2;AZI2;PRKCZ,276
Cd2bp2,SE,GO_Cellular_Component_2023,ATAC Complex (GO:0140672),4/13,6.66417929598597e-4,32.2140522875817,344.0448461742437,TADA2A;ZZZ3;TADA3;KAT14,276
Cd2bp2,SE,GO_Cellular_Component_2023,Mitotic Spindle (GO:0072686),10/143,6.66417929598597e-4,5.537622251116513,57.60875809476744,IQCB1;TADA2A;ZZZ3;TFDP2;HAUS8;EPB41;TADA3;HAUS6;MAD1L1;KAT14,276
Cd2bp2,SE,GO_Cellular_Component_2023,Histone Acetyltransferase Complex (GO:0000123),5/27,6.66417929598597e-4,16.522978866152297,171.86677145745625,TADA2A;KANSL1;BRPF3;JADE1;KAT7,276
Cd2bp2,SE,GO_Cellular_Component_2023,cullin-RING Ubiquitin Ligase Complex (GO:0031461),11/174,6.66417929598597e-4,4.981386734575761,51.67438482126832,FBXW5;ANAPC16;FBXW11;FBXO17;DCAF8;ERCC8;KLHL13;BTRC;FBXL5;KLHDC10;FBXL12,276
Cd2bp2,SE,GO_Cellular_Component_2023,Nuclear Lumen (GO:0031981),26/780,6.66417929598597e-4,2.6165517241379312,27.0452890328689,TSG101;GEMIN2;FMR1;RBPJ;TENT4B;PPP1CC;KAT7;UTP20;RBM7;PLK4;PBRM1;ATP8B2;NAA10;MTX2;IDH3G;KRR1;TERF1;APTX;SPIDR;FANCG;STAG2;ZZZ3;LSM6;FANCD2;MDM2;ERGIC2,276
Cd2bp2,SE,GO_Biological_Process_2023,Transcription Initiation At RNA Polymerase II Promoter (GO:0006367),8/76,7.511960907331552e-4,8.628621597892888,99.38177586456277,MED22;MED14;TBP;MED20;MED15;GTF2F2;TAF2;MED7,276
Cd2bp2,SE,GO_Biological_Process_2023,RNA Polymerase II Preinitiation Complex Assembly (GO:0051123),7/56,7.982185585428713e-4,10.44875199150292,118.8398335498224,MED22;MED14;TBP;MED20;MED15;TAF2;MED7,276
Cd2bp2,SE,GO_Biological_Process_2023,Positive Regulation Of DNA-templated Transcription Initiation (GO:2000144),7/56,7.982185585428713e-4,10.44875199150292,118.8398335498224,MED22;MED14;TBP;MED20;MED15;TAF2;MED7,276
