database,organism,type,mean_number_of_isoform,p_value,significance
ComplexTab,human,complex,3.453391142768659,0.8516090014672799,NO
ComplexTab,human,non-complex,3.4713367926859404,0.8516090014672799,NO
ComplexTab,mouse,complex,1.864845434938893,0.7240836779175563,NO
ComplexTab,mouse,non-complex,1.8488891143349904,0.7240836779175563,NO
CORUM,human,complex,3.8017962849561133,5.226201185258255e-7,YES
CORUM,human,non-complex,3.355834136933462,5.226201185258255e-7,YES
CORUM,mouse,complex,2.163540445486518,3.408466287983605e-13,YES
CORUM,mouse,non-complex,1.8223619774215165,3.408466287983605e-13,YES
