Term,Overlap,Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,ko_symbol,event,type,gene_number,db
"Catalytic Activity, Acting On A tRNA (GO:0140101)",10/39,0.005198410827535951,5.449030535237432,51.851899652594696,DTWD2;DUS2;AARS2;TYW5;MRPL58;TARS2;DUS3L;OSGEP;ANKZF1;TRIT1,Cd2bp2,SE,rmats,1198,GO_Molecular_Function_2023
Protein Serine/Threonine Kinase Activity (GO:0004674),39/342,0.005535443989811791,2.054408460690763,19.203836614641997,ROCK2;PRKCZ;IKBKB;STK11;IRAK1;CHEK2;STK16;PHKG2;TLK2;TLK1;MAP4K5;MARK3;CAMK2G;MARK2;BRD4;PAK4;MAP2K6;PLK4;SRPK2;NEK9;DAPK2;LIMK2;MOK;CSNK1D;VRK1;PRKAB1;CLK4;CDK11B;HIPK2;CLK2;CLK1;BCKDK;MELK;STK26;RPS6KB2;CDK12;CSNK1G2;CAMK1G;MAP3K12,Cd2bp2,SE,rmats,1198,GO_Molecular_Function_2023
N6-methyladenosine-containing RNA Binding (GO:1990247),5/10,0.00851822223419371,15.756077116512992,138.78095073484872,YTHDF2;YTHDF3;HNRNPA2B1;IGF2BP1;HNRNPC,Cd2bp2,SE,rmats,1198,GO_Molecular_Function_2023
GTPase Activator Activity (GO:0005096),27/211,0.00851822223419371,2.3330393940519065,20.377386579082316,USP6NL;TBC1D9B;RABGAP1;FAM13B;NPRL3;ARHGAP19;AGAP1;ARHGAP17;ASAP1;SYDE1;SIPA1L1;RACGAP1;CHN1;TBC1D14;DNM1L;TBC1D22A;GARNL3;RALGAPA1;STARD8;TSC2;MYO9B;OCRL;RP2;SGSM2;PREB;RGS12;DEPDC5,Cd2bp2,SE,rmats,1198,GO_Molecular_Function_2023
DNA Repair (GO:0006281),45/291,1.4889044976393652e-5,2.9439637848243185,56.57464804137582,DCLRE1A;ABRAXAS1;FMR1;PDS5B;ENDOV;MTA1;NTHL1;CHEK2;UIMC1;NSD2;PMS2;POLI;KMT5B;ASCC3;POLE;PMS1;MUTYH;ZRANB3;UVRAG;SLC30A9;CENPX;FANCM;MGMT;KMT5C;FANCL;USP3;ACTR5;XRCC3;RECQL;HUWE1;FANCC;FANCE;APTX;FANCG;REXO4;TICRR;SETX;RAD52;RAD50;TDP2;FANCD2;MSH3;ERCC2;ERCC8;RAD18,Cd2bp2,SE,rmats,1198,GO_Biological_Process_2023
Regulation Of Organelle Organization (GO:0033043),20/100,0.002699603917461108,3.9732597623089982,52.93886540938263,USP6NL;SLC30A9;ACTR5;SIRT7;MFF;RBSN;PTK2;PARL;CAMSAP3;SYDE1;CLN3;MAVS;RHOT1;PDCD10;RUVBL2;AKAP9;PREB;NF2;DNM1L;MARK2,Cd2bp2,SE,rmats,1198,GO_Biological_Process_2023
Mitotic Recombination (GO:0006312),7/14,0.005869102549087795,15.780856423173804,188.6599229613265,RAD52;RAD50;MSH3;NSMCE2;XRCC3;SMC5;RAD54B,Cd2bp2,SE,rmats,1198,GO_Biological_Process_2023
Mitotic Spindle Assembly (GO:0090307),12/44,0.005869102549087795,5.934865092748735,70.35214486861497,WRAP73;STAG1;STAG2;RACGAP1;ABRAXAS1;KIFC1;CHEK2;SPICE1;LSM14A;CLASP1;CCDC61;CLASP2,Cd2bp2,SE,rmats,1198,GO_Biological_Process_2023
DNA Damage Response (GO:0006974),45/384,0.008599798187904385,2.125620735441979,23.910814858437664,ATF2;USP16;STXBP4;FMR1;BRAT1;HTRA2;SMC5;PDS5B;ENDOV;BCLAF1;STK11;HERC2;CHEK2;TLK2;POLI;KMT5B;APBB1;MAP2K6;MUTYH;ZRANB3;UVRAG;SLF1;CBX5;MGMT;KMT5C;FANCL;DDX11;USP3;METTL3;XRCC3;RECQL;VRK1;FANCC;SIRT7;USP28;SPIDR;FANCG;REXO4;PML;TICRR;SETX;RAD50;MSH3;ERCC8;RAD18,Cd2bp2,SE,rmats,1198,GO_Biological_Process_2023
DNA Metabolic Process (GO:0006259),36/288,0.011659268305111216,2.280550774526678,24.28505854490684,FMR1;PDS5B;ENDOV;NTHL1;CBS;RUVBL2;SMARCAD1;POLI;NT5M;KMT5B;POLE;MUTYH;ZRANB3;TOP3B;UVRAG;TCF7L2;MGMT;KMT5C;FANCL;USP3;ACTR5;XRCC3;RECQL;REV1;DONSON;FANCC;TERF1;TERF2;FANCG;REXO4;TICRR;RAD52;RAD50;MSH3;RBMS1;RAD18,Cd2bp2,SE,rmats,1198,GO_Biological_Process_2023
