Term,Overlap,Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,ko_symbol,event,type,gene_number,db
Cell-Cell Junction (GO:0005911),27/299,0.01115308866457642,2.2205620682436678,18.10407374947475,PATJ;CTNND1;SNAP23;FOXM1;MTDH;CDH2;EPB41L3;NPHP1;FLOT2;ECT2;PDLIM7;JAM3;PAK4;CADM1;ACTN1;LSR;VEGFA;TJP1;ILF3;DLG1;DLG3;SAPCD2;DLG5;ZYX;NF2;VCL;PALS1,Qk,SE,rmats,870,GO_Cellular_Component_2023
Adherens Junction (GO:0005912),17/150,0.01115308866457642,2.846644747860272,23.18149498163144,CTNND1;SNAP23;VEGFA;CAMSAP3;TJP1;ILF3;DLG1;CDH2;DLG3;DLG5;ZYX;FLOT2;NF2;VCL;PDLIM7;PALS1;PAK4,Qk,SE,rmats,870,GO_Cellular_Component_2023
Coated Vesicle (GO:0030135),11/79,0.020435981492327684,3.589707594329932,26.635922205380705,TEPSIN;DAB2;SEC23IP;AP1G1;VPS41;NUMB;OCRL;CTSC;ECPAS;SEC31A;PICALM,Qk,SE,rmats,870,GO_Cellular_Component_2023
Nuclear Lumen (GO:0031981),53/780,0.027719634830020025,1.6421318643206013,11.511142276416289,RBM28;TMEM179B;CDCA7L;FMR1;PRDM5;HJURP;HNRNPR;SPIN1;KAT7;BUD23;RBM34;RBM7;SPG11;PBRM1;PPP1R12A;CEMIP2;SLC30A5;DDX11;VRK1;DDX50;MIF4GD;METTL22;TRAF7;ILF3;SAPCD2;WDR82;SLC29A2;INO80E;MEAF6;DHX9;CIPC;PARN;AKAP8;DDX21;FXR1;HIRIP3;ATXN1L;UTP20;ZC3H14;PLK4;SRPK2;PYM1;NOC3L;RRP1B;APTX;LSM6;ZZZ3;TTC3;MDM2;RGS12;CEP85;NF2;MPHOSPH8,Qk,SE,rmats,870,GO_Cellular_Component_2023
Nucleolus (GO:0005730),52/771,0.03304638513585883,1.6277905675840187,10.969347864212702,RBM28;TMEM179B;CDCA7L;FMR1;PRDM5;HJURP;HNRNPR;SPIN1;KAT7;BUD23;RBM34;RBM7;SPG11;PPP1R12A;CEMIP2;SLC30A5;DDX11;VRK1;DDX50;MIF4GD;METTL22;TRAF7;ILF3;SAPCD2;WDR82;SLC29A2;INO80E;MEAF6;DHX9;CIPC;PARN;AKAP8;DDX21;FXR1;HIRIP3;ATXN1L;UTP20;ZC3H14;PLK4;SRPK2;PYM1;NOC3L;RRP1B;APTX;LSM6;ZZZ3;TTC3;MDM2;RGS12;CEP85;NF2;MPHOSPH8,Qk,SE,rmats,870,GO_Cellular_Component_2023
Focal Adhesion (GO:0005925),30/387,0.04315844115200973,1.8780512204881952,11.991015904072418,CYFIP1;SRC;STX16;SNAP23;RPL10A;SLC9A3R2;MPRIP;CDH2;PIP5K1A;FLOT2;FLNB;MPZL1;CLASP1;PDLIM7;PAK4;CLASP2;PPP1R12A;ACTN1;PTK2;DNM2;SENP1;FERMT1;DAB2;CTTN;TRIP6;ZYX;NUMB;KRAS;TLN2;VCL,Qk,SE,rmats,870,GO_Cellular_Component_2023
ATAC Complex (GO:0140672),4/13,0.04381138453933138,9.813189633051065,61.72260727810627,ZZZ3;TADA3;MAP3K7;KAT14,Qk,SE,rmats,870,GO_Cellular_Component_2023
Cell-Substrate Junction (GO:0030055),25/395,0.015556786657673316,2.470099409754582,22.81739303679121,YWHAE;ARF1;TRIOBP;HSP90B1;ICAM1;RPS4X;CSRP1;FLNA;RPL38;PRSS8;SCARF2;KLF11;NPM1;DST;HSPA5;CASK;ENAH;CTNNB1;MYH9;CALR;PABPC1;PFN1;ARHGEF7;CD44;FERMT3,Rbm24,A3SS,deg,547,GO_Cellular_Component_2023
Focal Adhesion (GO:0005925),24/387,0.015556786657673316,2.413286348624433,20.790734640611806,YWHAE;KLF11;ARF1;NPM1;DST;HSPA5;CASK;TRIOBP;HSP90B1;ICAM1;ENAH;RPS4X;CSRP1;FLNA;CTNNB1;MYH9;RPL38;PRSS8;CALR;PABPC1;PFN1;ARHGEF7;SCARF2;CD44,Rbm24,A3SS,deg,547,GO_Cellular_Component_2023
Cortical Granule (GO:0060473),3/5,0.015556786657673316,53.63327205882353,458.0876525990483,HEXB;MYH9;CALR,Rbm24,A3SS,deg,547,GO_Cellular_Component_2023
Actin Cytoskeleton (GO:0015629),21/327,0.0169433598572024,2.49811749794975,20.404744785920915,DHX9;TPM3;MYO5A;CASK;NPM3;SPTB;TRIOBP;ACACA;LIMD2;SLC9A3R1;ACTA1;SAMD14;OPHN1;BIN2;DNAJA3;FSCN1;FLNA;MYH9;TEK;WASF2;FERMT3,Rbm24,A3SS,deg,547,GO_Cellular_Component_2023
DNA Binding (GO:0003677),31/846,5.195735239719932e-4,2.819049681222182,37.526893962333254,TOP2A;SMARCB1;TSG101;MPG;OGG1;NUCKS1;HIF1A;DEDD2;RAD51AP1;SBNO1;CUX1;PCBP2;MLX;POLG;RBM6;JMJD4;RFC1;DDX11;ATRX;NR2F6;SMARCA4;SIRT3;TOX3;MMS22L;FUBP3;MSH3;ERCC1;TIMELESS;TCF3;TARDBP;TAF1,Rbm24,A3SS,rmats,286,GO_Molecular_Function_2023
RNA Polymerase II-specific DNA-binding Transcription Factor Binding (GO:0061629),14/228,8.712187793505722e-4,4.690076965365585,56.75867000209575,SMARCB1;TBP;RNF25;NCOA3;HIF1A;SMARCA4;MAD2L2;NCOR1;MTA1;CPNE1;MLX;E4F1;TCF3;TAF1,Rbm24,A3SS,rmats,286,GO_Molecular_Function_2023
Single-Stranded DNA Binding (GO:0003697),8/96,0.007412013083266394,6.417920209287116,61.32601235235135,RAD51AP1;MMS22L;FUBP3;MSH3;DDX11;ERCC1;PCBP2;NUCKS1,Rbm24,A3SS,rmats,286,GO_Molecular_Function_2023
Ubiquitin-Like Protein Transferase Activity (GO:0019787),12/240,0.014606578585883916,3.742988859008836,32.1499607143016,UBE2F;UBE2W;MARCHF2;SHARPIN;SMURF1;RNF25;TTC3;ARIH2;FBXO25;UBE2D1;RNF181;MDM4,Rbm24,A3SS,rmats,286,GO_Molecular_Function_2023
Ubiquitin-Protein Transferase Activity (GO:0004842),16/412,0.019609565185020206,2.8908342686120463,23.333926399458846,RNF10;MARCHF2;RNF44;SMURF1;RNF25;FBXO17;FBXO25;UBE2D1;UBE2W;SHARPIN;TTC3;ARIH2;RNF181;MDM4;RNF111;TAF1,Rbm24,A3SS,rmats,286,GO_Molecular_Function_2023
Nuclear Receptor Coactivator Activity (GO:0030374),5/50,0.035557560634023114,7.777382364570976,56.24845322618225,ENY2;ZMIZ1;NCOA3;PPRC1;ATXN7L3,Rbm24,A3SS,rmats,286,GO_Molecular_Function_2023
DNA-binding Transcription Factor Binding (GO:0140297),12/282,0.035557560634023114,3.1539334955393348,22.519354208029423,MAD2L2;RBFOX2;NCOR1;TBP;MTA1;MLX;NUCKS1;E4F1;TCF3;HIF1A;HCFC1;TAF1,Rbm24,A3SS,rmats,286,GO_Molecular_Function_2023
Chromatin DNA Binding (GO:0031490),6/83,0.04748056200803411,5.464842300556587,36.66876939914054,TOX3;SBNO1;SMARCB1;ATRX;HNRNPC;SMARCA4,Rbm24,A3SS,rmats,286,GO_Molecular_Function_2023
Ubiquitin-Like Protein Conjugating Enzyme Activity (GO:0061650),4/35,0.04748056200803411,9.00617707618394,58.488300321756064,UBE2F;UBE2W;UBE2D1;TAF1,Rbm24,A3SS,rmats,286,GO_Molecular_Function_2023
Core Promoter Sequence-Specific DNA Binding (GO:0001046),4/35,0.04748056200803411,9.00617707618394,58.488300321756064,SMARCB1;TBP;SMARCA4;TAF1,Rbm24,A3SS,rmats,286,GO_Molecular_Function_2023
Positive Regulation Of Double-Strand Break Repair (GO:2000781),11/84,4.755532526195784e-5,10.762191780821917,186.04213273849658,RAD51AP1;MAD2L2;PBRM1;SMARCB1;MRGBP;DDX11;TIMELESS;KMT5B;MMS19;FOXM1;SMARCA4,Rbm24,A3SS,rmats,286,GO_Biological_Process_2023
Chromatin Organization (GO:0006325),16/268,0.0013099487496161858,4.576601998824221,60.76648794560292,PBRM1;KDM4B;SMARCB1;BRPF1;HDAC10;DDX11;ATRX;EHMT1;NUCKS1;HCFC1;SMARCA4;ING4;MTA1;BRD9;HNRNPC;MTA3,Rbm24,A3SS,rmats,286,GO_Biological_Process_2023
Post-Transcriptional Gene Silencing (GO:0016441),4/11,0.006366999806650198,39.933130699088146,450.88648156816714,CELF1;HELZ;PUM1;GIGYF2,Rbm24,A3SS,rmats,286,GO_Biological_Process_2023
Regulation Of Double-Strand Break Repair (GO:2000779),8/88,0.01437089051502314,7.062589928057554,71.90523924650557,RAD51AP1;PBRM1;SMARCB1;MRGBP;DDX11;TIMELESS;FOXM1;SMARCA4,Rbm24,A3SS,rmats,286,GO_Biological_Process_2023
Regulation Of DNA-templated Transcription (GO:0006355),49/1922,0.01437089051502314,1.969378307325282,19.6270914797374,SETD5;RNF10;SMARCB1;HDAC10;PRDM4;OGG1;EHMT1;FOXM1;ING4;EDRF1;ZMIZ1;SUFU;MLX;ATXN7L3;RNF111;BRD1;PBRM1;RBFOX2;ZFP2;ATRX;FOXP4;LIME1;HCFC1;PHF20L1;TOX3;NCOR1;DMTF1;TIMELESS;ENY2;WIZ;PRICKLE1;HIF1A;DEDD2;SBNO1;MTA1;CUX1;BRD9;E4F1;MTA3;BRPF1;SMARCA4;MAD2L2;MRGBP;FUBP3;CNOT2;MMS19;MDM4;TCF3;PICALM,Rbm24,A3SS,rmats,286,GO_Biological_Process_2023
Regulation Of Cellular Component Organization (GO:0051128),10/153,0.016279179868278145,4.958700719570285,47.25356085417502,ING4;MAD2L2;SETD5;RAB4A;TSC2;PTPN11;RASGRP2;BLTP1;HCFC1;PICALM,Rbm24,A3SS,rmats,286,GO_Biological_Process_2023
Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),16/367,0.016279179868278145,3.269051387569906,30.68306280172359,FBXW5;TSG101;SMURF1;RNF25;UBE2D1;ANKRD9;UBE2W;SHARPIN;MTA1;PCBP2;TTC3;ARIH2;SPOPL;RNF111;UBL7;TAF1,Rbm24,A3SS,rmats,286,GO_Biological_Process_2023
Positive Regulation Of DNA Recombination (GO:0045911),6/51,0.016279179868278145,9.366190476190477,87.77478357473682,RAD51AP1;MAD2L2;MRGBP;TIMELESS;KMT5B;MMS19,Rbm24,A3SS,rmats,286,GO_Biological_Process_2023
Regulation Of Cell Cycle Process (GO:0010564),9/130,0.01824088463764348,5.261121222066414,48.08605994832829,PBRM1;SMARCB1;DBF4;RACGAP1;PRC1;E4F1;PUM1;USP19;SMARCA4,Rbm24,A3SS,rmats,286,GO_Biological_Process_2023
Regulation Of Nuclear Cell Cycle DNA Replication (GO:0033262),3/8,0.02227006181638119,41.78586572438162,366.9143690159568,DBF4;ATRX;WIZ,Rbm24,A3SS,rmats,286,GO_Biological_Process_2023
Histone Modification (GO:0016570),7/81,0.02227006181638119,6.658916981497627,58.19653563357894,ING4;PHF20L1;ENY2;MTA1;MRGBP;ATXN7L3;MTA3,Rbm24,A3SS,rmats,286,GO_Biological_Process_2023
Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161),14/319,0.0276058172707954,3.2753857280617167,27.637197489456764,RNF10;FBXW5;SMURF1;FBXO17;USP19;ANKRD9;UBE2W;SHARPIN;MTA1;CDC27;PCBP2;SPOPL;ANKZF1;TAF1,Rbm24,A3SS,rmats,286,GO_Biological_Process_2023
Positive Regulation Of DNA Repair (GO:0045739),7/89,0.033889080255078016,6.006818777865198,48.972008235073865,PBRM1;SMARCB1;HDAC10;DDX11;TIMELESS;FOXM1;SMARCA4,Rbm24,A3SS,rmats,286,GO_Biological_Process_2023
Regulation Of RNA Metabolic Process (GO:0051252),7/91,0.03389550215721146,5.863201911589008,46.99910006059676,ENY2;PCBP3;CELF1;PCBP2;RBM12;ATXN7L3;CLK2,Rbm24,A3SS,rmats,286,GO_Biological_Process_2023
Regulation Of Transcription By RNA Polymerase II (GO:0006357),48/2028,0.03389550215721146,1.806366182836771,14.467991975709996,RNF10;ENY2;SMARCB1;HDAC10;PRDM4;EHMT1;UBE2D1;WIZ;NUCKS1;FOXM1;HIF1A;MTA1;MAPK7;CUX1;ZMIZ1;MIER3;SUFU;MLX;BRD9;E4F1;IKBKG;ATXN7L3;MTA3;BRD1;PBRM1;BRPF1;NCOA3;ZFP2;ATRX;PPRC1;FOXP4;LIME1;HCFC1;NR2F6;SMARCA4;PHF20L1;MAD2L2;TOX3;DLG1;NCOR1;MRGBP;FUBP3;DMTF1;CNOT2;MDM4;TCF3;FGFR2;TAF1,Rbm24,A3SS,rmats,286,GO_Biological_Process_2023
DNA-templated DNA Replication Maintenance Of Fidelity (GO:0045005),5/43,0.03406661906574659,9.213335830679902,73.15270331270546,MMS22L;DDX11;ATRX;TIMELESS;NUCKS1,Rbm24,A3SS,rmats,286,GO_Biological_Process_2023
Regulation Of Insulin Receptor Signaling Pathway (GO:0046626),5/44,0.035754725155252354,8.976640204398212,70.29501483561073,PRKCD;TSC2;NUCKS1;PTPN11;SIK2,Rbm24,A3SS,rmats,286,GO_Biological_Process_2023
Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508),19/557,0.037350472504662974,2.5364019882210433,19.559131961200887,RNF10;ENY2;BRPF1;FOXM1;HIF1A;HCFC1;SMARCA4;MAD2L2;EDRF1;MRGBP;MTA1;FUBP3;ZMIZ1;MMS19;TCF3;ATXN7L3;MTA3;RNF111;PICALM,Rbm24,A3SS,rmats,286,GO_Biological_Process_2023
Chromatin Remodeling (GO:0006338),11/228,0.037350472504662974,3.5939170506912443,27.586884826226424,PBRM1;KDM4B;SMARCB1;BRPF1;MTA1;ATRX;BRD9;HNRNPC;MTA3;HCFC1;SMARCA4,Rbm24,A3SS,rmats,286,GO_Biological_Process_2023
Protein Ubiquitination (GO:0016567),16/434,0.04188374816320646,2.735566188197767,20.52780472150179,RNF10;MARCHF2;RNF44;FBXW5;SMURF1;RNF25;FBXO25;UBE2D1;KLHL12;ANKRD9;UBE2W;ARIH2;RNF181;MDM4;RNF111;TAF1,Rbm24,A3SS,rmats,286,GO_Biological_Process_2023
Negative Regulation Of Catabolic Process (GO:0009895),6/72,0.04188374816320646,6.37922077922078,47.597649841440756,PHF20L1;MAD2L2;NCOR1;MDM4;BANP;TAF1,Rbm24,A3SS,rmats,286,GO_Biological_Process_2023
Regulation Of RNA Splicing (GO:0043484),7/102,0.045860976136934205,5.181399735898887,37.94920005374882,ENY2;CELF1;U2AF2;RBM12;ATXN7L3;SRRM1;CLK2,Rbm24,A3SS,rmats,286,GO_Biological_Process_2023
Nucleus (GO:0005634),109/4487,1.7271074833317708e-7,2.1571958405277543,44.22021288076219,PANK4;SMARCB1;HDAC10;PRDM4;CTNND1;FBXO25;EHMT1;UBE2D1;NUCKS1;EDC4;ZMIZ1;CDC27;CPNE1;FAM53A;KMT5B;ATXN7L3;RNF111;JMJD4;TLE3;RBFOX2;DDX11;PRKCD;TSC2;FOXP4;SRRM1;HCFC1;DMTF1;CCNE2;MSH3;TIMELESS;PKP4;SIK2;HIF1A;RAD51AP1;SBNO1;RACGAP1;PCBP3;IRAK1;MIER3;PCBP2;UBE2F;BRPF1;BLTP1;NR2F6;SMARCA4;CLK2;UBE2W;CDK8;DLG1;FUBP3;CNOT2;MMS19;MDM4;HNRNPC;TCF3;FGFR2;PICALM;TOP2A;SETD5;RNF10;CELF1;OGG1;FOXM1;SMG5;ING4;SUFU;PPP6R3;MLX;ARIH2;IKBKG;TNPO2;RBM6;BRD1;PBRM1;TBP;REXO1;RFC1;NCOA3;AKTIP;ATRX;TRNAU1AP;PPRC1;SIRT3;TOX3;MMS22L;NCOR1;G2E3;SPOPL;MIS12;WIZ;LENG8;PRICKLE1;RAD54B;MTA1;MAPK7;CUX1;U2AF2;BRD9;MTA3;KDM4B;RYK;RNF25;PTPN11;MAD2L2;PRC1;TTC3;TARDBP;CDKN3;TAF1,Rbm24,A3SS,rmats,286,GO_Cellular_Component_2023
Intracellular Membrane-Bounded Organelle (GO:0043231),120/5175,1.7271074833317708e-7,2.096314039540953,42.110728312616246,PANK4;SMARCB1;HDAC10;PRDM4;CTNND1;FBXO25;EHMT1;UBE2D1;NUCKS1;EDC4;ZMIZ1;CDC27;CPNE1;FAM53A;KMT5B;ATXN7L3;RNF111;JMJD4;TLE3;RBFOX2;DDX11;PRKCD;TSC2;FOXP4;SCAMP3;SRRM1;HCFC1;DMTF1;CCNE2;MSH3;TIMELESS;PKP4;SIK2;KLHL12;HIF1A;RAD51AP1;SBNO1;RACGAP1;PCBP3;IRAK1;MIER3;PCBP2;AP1M2;ATP6V0A1;UBE2F;BRPF1;BLTP1;NR2F6;SMARCA4;CLK2;IFT20;UBE2W;CDK8;DLG1;FUBP3;CNOT2;MMS19;MDM4;HNRNPC;TCF3;FGFR2;PICALM;TOP2A;SETD5;RNF10;CELF1;OGG1;CEP164;FOXM1;CLINT1;SMG5;ING4;SUFU;PPP6R3;MLX;ARIH2;IKBKG;TNPO2;POLG;RBM6;BRD1;PBRM1;DBNL;TBP;REXO1;RFC1;NCOA3;AKTIP;ATRX;TRNAU1AP;PPRC1;SIRT3;TOX3;MMS22L;NCOR1;G2E3;SPOPL;MVK;MIS12;WIZ;LENG8;PRICKLE1;RAD54B;MTA1;MAPK7;CUX1;U2AF2;BRD9;MTA3;KDM4B;RYK;SMOX;RNF25;PTPN11;MAD2L2;PRC1;TTC3;TARDBP;CDKN3;TAF1,Rbm24,A3SS,rmats,286,GO_Cellular_Component_2023
Clathrin Vesicle Coat (GO:0030125),4/12,0.001129470876038625,34.93971631205674,380.73389139286934,NECAP2;SYNRG;CLINT1;EPN1,Rbm24,A3SS,rmats,286,GO_Cellular_Component_2023
Clathrin Coat (GO:0030118),4/16,0.0029770062956330176,23.28841607565012,224.5010033970084,NECAP2;CLINT1;EPN1;PICALM,Rbm24,A3SS,rmats,286,GO_Cellular_Component_2023
SWI/SNF Complex (GO:0016514),4/29,0.026850041177772274,11.171063829787235,80.6275571909233,PBRM1;SMARCB1;BRD9;SMARCA4,Rbm24,A3SS,rmats,286,GO_Cellular_Component_2023
RSC-type Complex (GO:0016586),3/14,0.028581982266824024,18.987793125602312,132.39628830594162,PBRM1;SMARCB1;SMARCA4,Rbm24,A3SS,rmats,286,GO_Cellular_Component_2023
Vesicle Coat (GO:0030120),4/37,0.04876029135767665,8.459488502041694,53.16293645850726,NECAP2;KLHL12;CLINT1;EPN1,Rbm24,A3SS,rmats,286,GO_Cellular_Component_2023
Cell-Substrate Junction (GO:0030055),25/395,0.015556786657673316,2.470099409754582,22.81739303679121,YWHAE;ARF1;TRIOBP;HSP90B1;ICAM1;RPS4X;CSRP1;FLNA;RPL38;PRSS8;SCARF2;KLF11;NPM1;DST;HSPA5;CASK;ENAH;CTNNB1;MYH9;CALR;PABPC1;PFN1;ARHGEF7;CD44;FERMT3,Rbm24,A5SS,deg,547,GO_Cellular_Component_2023
Focal Adhesion (GO:0005925),24/387,0.015556786657673316,2.413286348624433,20.790734640611806,YWHAE;KLF11;ARF1;NPM1;DST;HSPA5;CASK;TRIOBP;HSP90B1;ICAM1;ENAH;RPS4X;CSRP1;FLNA;CTNNB1;MYH9;RPL38;PRSS8;CALR;PABPC1;PFN1;ARHGEF7;SCARF2;CD44,Rbm24,A5SS,deg,547,GO_Cellular_Component_2023
Cortical Granule (GO:0060473),3/5,0.015556786657673316,53.63327205882353,458.0876525990483,HEXB;MYH9;CALR,Rbm24,A5SS,deg,547,GO_Cellular_Component_2023
Actin Cytoskeleton (GO:0015629),21/327,0.0169433598572024,2.49811749794975,20.404744785920915,DHX9;TPM3;MYO5A;CASK;NPM3;SPTB;TRIOBP;ACACA;LIMD2;SLC9A3R1;ACTA1;SAMD14;OPHN1;BIN2;DNAJA3;FSCN1;FLNA;MYH9;TEK;WASF2;FERMT3,Rbm24,A5SS,deg,547,GO_Cellular_Component_2023
Nucleus (GO:0005634),57/4487,0.0038384867375449313,2.0238978209794074,20.789897910662138,KDM5C;HDAC10;PDCD6;OGG1;ARID4B;BRCA2;RESF1;NFU1;ING4;XPO6;TRIM24;HMGN3;NELFE;TLE3;SREBF1;UPF1;MORC3;PBRM1;TBP;STRADA;PABPC4;TSC1;TRNT1;THOC7;NCOR1;LANCL2;ANKRD16;WDR26;BRAT1;SDR39U1;HTRA2;PDS5B;PRIMPOL;BCL2L12;CECR2;TFPT;MAPK7;RACGAP1;MARCHF7;BRD8;RBM10;S100PBP;STAT3;RRP1B;SMARCA1;LSM5;PALB2;BLTP1;CLK3;SCAF4;USF1;GATAD2A;CNOT6;SRRD;RLIM;CDK2AP2;TARDBP,Rbm24,A5SS,rmats,155,GO_Cellular_Component_2023
Intracellular Membrane-Bounded Organelle (GO:0043231),60/5175,0.01531598211945259,1.8187991974070072,14.786439612896439,KDM5C;HDAC10;RNF13;PDCD6;OGG1;ARID4B;BRCA2;RABEPK;RESF1;NFU1;ING4;XPO6;TRIM24;ANKFY1;HMGN3;NELFE;TLE3;SREBF1;UPF1;MORC3;PBRM1;TBP;STRADA;PABPC4;TSC1;TRNT1;THOC7;NCOR1;LANCL2;ANKRD16;WDR26;BRAT1;SDR39U1;HTRA2;PDS5B;PRIMPOL;BCL2L12;CECR2;TFPT;MAPK7;RACGAP1;MARCHF7;BRD8;RBM10;S100PBP;STAT3;RRP1B;SMARCA1;LSM5;PALB2;BLTP1;CLK3;SCAF4;USF1;GATAD2A;CNOT6;SRRD;RLIM;CDK2AP2;TARDBP,Rbm24,A5SS,rmats,155,GO_Cellular_Component_2023
Cytoplasmic Side Of Plasma Membrane (GO:0009898),6/124,0.01531598211945259,6.731998634967581,52.440763589661586,GRAMD1A;FRMD6;RACGAP1;HTRA2;TRAF2;TIRAP,Rbm24,A5SS,rmats,155,GO_Cellular_Component_2023
Cell-Substrate Junction (GO:0030055),25/395,0.015556786657673316,2.470099409754582,22.81739303679121,YWHAE;ARF1;TRIOBP;HSP90B1;ICAM1;RPS4X;CSRP1;FLNA;RPL38;PRSS8;SCARF2;KLF11;NPM1;DST;HSPA5;CASK;ENAH;CTNNB1;MYH9;CALR;PABPC1;PFN1;ARHGEF7;CD44;FERMT3,Rbm24,MXE,deg,547,GO_Cellular_Component_2023
Focal Adhesion (GO:0005925),24/387,0.015556786657673316,2.413286348624433,20.790734640611806,YWHAE;KLF11;ARF1;NPM1;DST;HSPA5;CASK;TRIOBP;HSP90B1;ICAM1;ENAH;RPS4X;CSRP1;FLNA;CTNNB1;MYH9;RPL38;PRSS8;CALR;PABPC1;PFN1;ARHGEF7;SCARF2;CD44,Rbm24,MXE,deg,547,GO_Cellular_Component_2023
Cortical Granule (GO:0060473),3/5,0.015556786657673316,53.63327205882353,458.0876525990483,HEXB;MYH9;CALR,Rbm24,MXE,deg,547,GO_Cellular_Component_2023
Actin Cytoskeleton (GO:0015629),21/327,0.0169433598572024,2.49811749794975,20.404744785920915,DHX9;TPM3;MYO5A;CASK;NPM3;SPTB;TRIOBP;ACACA;LIMD2;SLC9A3R1;ACTA1;SAMD14;OPHN1;BIN2;DNAJA3;FSCN1;FLNA;MYH9;TEK;WASF2;FERMT3,Rbm24,MXE,deg,547,GO_Cellular_Component_2023
Cell-Substrate Junction (GO:0030055),25/395,0.015556786657673316,2.470099409754582,22.81739303679121,YWHAE;ARF1;TRIOBP;HSP90B1;ICAM1;RPS4X;CSRP1;FLNA;RPL38;PRSS8;SCARF2;KLF11;NPM1;DST;HSPA5;CASK;ENAH;CTNNB1;MYH9;CALR;PABPC1;PFN1;ARHGEF7;CD44;FERMT3,Rbm24,RI,deg,547,GO_Cellular_Component_2023
Focal Adhesion (GO:0005925),24/387,0.015556786657673316,2.413286348624433,20.790734640611806,YWHAE;KLF11;ARF1;NPM1;DST;HSPA5;CASK;TRIOBP;HSP90B1;ICAM1;ENAH;RPS4X;CSRP1;FLNA;CTNNB1;MYH9;RPL38;PRSS8;CALR;PABPC1;PFN1;ARHGEF7;SCARF2;CD44,Rbm24,RI,deg,547,GO_Cellular_Component_2023
Cortical Granule (GO:0060473),3/5,0.015556786657673316,53.63327205882353,458.0876525990483,HEXB;MYH9;CALR,Rbm24,RI,deg,547,GO_Cellular_Component_2023
Actin Cytoskeleton (GO:0015629),21/327,0.0169433598572024,2.49811749794975,20.404744785920915,DHX9;TPM3;MYO5A;CASK;NPM3;SPTB;TRIOBP;ACACA;LIMD2;SLC9A3R1;ACTA1;SAMD14;OPHN1;BIN2;DNAJA3;FSCN1;FLNA;MYH9;TEK;WASF2;FERMT3,Rbm24,RI,deg,547,GO_Cellular_Component_2023
"Catalytic Activity, Acting On A tRNA (GO:0140101)",6/39,0.0011160204523153671,16.390203403902035,201.65387841124996,MTFMT;AARS2;TARS2;FTSJ1;DUS3L;ANKZF1,Rbm24,RI,rmats,225,GO_Molecular_Function_2023
Microtubule Minus-End Binding (GO:0051011),3/12,0.03527053494979305,29.67867867867868,242.08576846210312,CAMSAP3;TUBGCP2;TUBGCP4,Rbm24,RI,rmats,225,GO_Molecular_Function_2023
Cell-Substrate Junction (GO:0030055),25/395,0.015556786657673316,2.470099409754582,22.81739303679121,YWHAE;ARF1;TRIOBP;HSP90B1;ICAM1;RPS4X;CSRP1;FLNA;RPL38;PRSS8;SCARF2;KLF11;NPM1;DST;HSPA5;CASK;ENAH;CTNNB1;MYH9;CALR;PABPC1;PFN1;ARHGEF7;CD44;FERMT3,Rbm24,SE,deg,547,GO_Cellular_Component_2023
Focal Adhesion (GO:0005925),24/387,0.015556786657673316,2.413286348624433,20.790734640611806,YWHAE;KLF11;ARF1;NPM1;DST;HSPA5;CASK;TRIOBP;HSP90B1;ICAM1;ENAH;RPS4X;CSRP1;FLNA;CTNNB1;MYH9;RPL38;PRSS8;CALR;PABPC1;PFN1;ARHGEF7;SCARF2;CD44,Rbm24,SE,deg,547,GO_Cellular_Component_2023
Cortical Granule (GO:0060473),3/5,0.015556786657673316,53.63327205882353,458.0876525990483,HEXB;MYH9;CALR,Rbm24,SE,deg,547,GO_Cellular_Component_2023
Actin Cytoskeleton (GO:0015629),21/327,0.0169433598572024,2.49811749794975,20.404744785920915,DHX9;TPM3;MYO5A;CASK;NPM3;SPTB;TRIOBP;ACACA;LIMD2;SLC9A3R1;ACTA1;SAMD14;OPHN1;BIN2;DNAJA3;FSCN1;FLNA;MYH9;TEK;WASF2;FERMT3,Rbm24,SE,deg,547,GO_Cellular_Component_2023
GTPase Binding (GO:0051020),36/225,3.4337449765719316e-7,3.716854376605414,78.99293581729711,USP6NL;GARRE1;DENND5B;ARHGAP1;CIB1;STK19;ENO1;AMBRA1;C9ORF72;RASIP1;STRN3;AKAP13;GGA1;AP3M1;GOLGA4;KIF3A;AP1G1;ANKFY1;KNTC1;ERC1;DNM1L;RAB11FIP3;EVI5;HACE1;ANKRD27;PLEKHG2;SPHK2;TSC2;GAPVD1;LSM2;ABI2;SGSM2;PEX5;RAB3GAP2;PKN1;DOCK1,Rbm24,SE,rmats,1000,GO_Molecular_Function_2023
Small GTPase Binding (GO:0031267),33/199,3.4877848189830197e-7,3.8718804899016956,79.54340496577223,USP6NL;GARRE1;DENND5B;ARHGAP1;CIB1;STK19;C9ORF72;STRN3;AKAP13;GGA1;AP3M1;GOLGA4;KIF3A;AP1G1;ANKFY1;KNTC1;ERC1;DNM1L;RAB11FIP3;EVI5;HACE1;ANKRD27;PLEKHG2;SPHK2;TSC2;GAPVD1;LSM2;ABI2;SGSM2;PEX5;RAB3GAP2;PKN1;DOCK1,Rbm24,SE,rmats,1000,GO_Molecular_Function_2023
